uid,section,group,num_char,job_title,num_people,field_viz,field_ds,field_it,field_science,field_art,field_design,field_communications,field_finance,field_business,field_economy,field_student,field_teacher,field_research,field_unknown_free,field_unknown_manager,field_unknown_head,field_unknown_dir,field_unknown_unemployed,field_unknown_another,pos_senior,pos_lead,pos_freelance
1,data_science_sct,data_specialist,13,data scientist,35,,1,,,,,,,,,,,,,,,,,,,,
2,data_science_sct,data_specialist,19,senior data scientist,8,,1,,,,,,,,,,,,,,,,,,8,,
3,data_science_sct,data_specialist,17,lead data scientist,1,,1,,,,,,,,,,,,,,,,,,,1,
4,data_science_sct,data_specialist,28,senior principle data scientist,1,,1,,,,,,,,,,,,,,,,,,1,,
5,data_science_sct,data_specialist,18,chief data scientist,2,,1,,,,,,,,,,,,,,,,,,,2,
6,data_science_sct,data_specialist,22,associate data scientist,2,,1,,,,,,,,,,,,,,,,,,,2,
7,data_science_sct,data_specialist,11,data trainee,1,,1,,,,,,,,,,,,,,,,,,,,
8,data_science_sct,data_specialist,11,data manager,3,,1,,,,,,,,,,,,,,,,,,,3,
9,data_science_sct,data_specialist,8,data lead,1,,1,,,,,,,,,,,,,,,,,,,1,
10,data_science_sct,data_specialist,10,data fellow,2,,1,,,,,,,,,,,,,,,,,,,2,
11,data_science_sct,data_specialist,13,data associate,1,,1,,,,,,,,,,,,,,,,,,,1,
12,data_science_sct,data_specialist,17,head of data science,1,,1,,,,,,,,,,,,,,,,,,,1,
13,data_science_sct,data_specialist,24,manager of data and outcomes,1,,1,,,,,,,,,,,,,,,,,,,1,
14,data_science_sct,data_specialist,30,supervisor for data and assessment,1,,1,,,,,,,,,,,,,,,,,,,1,
15,data_science_sct,data_specialist,18,data project manager,1,,1,,,,,,,,,,,,,,,,,,,1,
16,data_science_sct,data_specialist,22,principal data scientist,2,,1,,,,,,,,,,,,,,,,,,,,
17,data_science_sct,data_specialist,14,data consultant,2,,1,,,,,,,,,,,,,,,,,,,,2
18,data_science_sct,data_specialist,41,"freelance data consultant, interim head of data",1,,1,,,,,,,,,,,,,,,,,,,1,1
19,data_science_sct,data_specialist,37,scientific data manager and visualisation,1,1,1,,,,,,,,,,,,,,,,,,,1,
20,data_science_sct,data_specialist,26,program data & systems manager,1,,1,,,,,,,,,,,,,,,,,,,1,
21,data_science_sct,data_specialist,30,data scientist / senior consultant,1,,1,,,,,,,,,,,,,,,,,,1,,1
22,data_science_sct,data_specialist,24,data management specialist,1,,1,,,,,,,,,,,,,,,,,,,,
23,data_science_sct,data_specialist,19,junior data scientist,1,,1,,,,,,,,,,,,,,,,,,,,
24,data_science_sct,data_specialist,23,"founder, data scientist",1,,1,,,,,,,,,,,,,,,,,,,1,
25,data_science_sct,data_specialist,20,head of data and insight,1,,1,,,,,,,,,,,,,,,,,,,1,
26,data_science_sct,data_specialist,28,senior program & data specialist,1,,1,,,,,,,,,,,,,,,,,,1,,
27,data_science_sct,data_specialist,30,"director, data science & analytics",1,,1,,1,,,,,,,,,,,,,,,,,1,
28,data_science_sct,data_specialist,18,sport data scientist,1,,1,,,,,,,,,,,,,,,,,,,,
29,data_science_sct,data_specialist,18,head of data insights,1,,1,,,,,,,,,,,,,,,,,,,1,
30,data_science_sct,data_specialist,13,data architect,1,,1,,,,,,,,,,,,,,,,,,,,
31,data_science_sct,data_specialist,17,data science intern,1,,1,,,,,,,,,,,,,,,,,,,,
32,data_science_sct,data_specialist,20,product data scientist,1,,1,,,,,,,,,,,,,,,,,,,,
33,data_science_sct,data_specialist,24,data reporting coordinator,1,,1,,,,,,,,,,,,,,,,,,,,
34,data_science_sct,data_specialist,20,data & insights manager,1,,1,,,,,,,,,,,,,,,,,,,1,
35,data_science_sct,data_specialist,27,owner - data science consultant,1,,1,,,,,,,,,,,,,,,,,,,1,1
36,data_science_sct,data_specialist,39,assistant director of data science & research,1,,1,,,,,,,,,,,1,,,,,,,,1,
37,data_science_sct,data_specialist,34,emergency preparedness data scientist,1,,1,,,,,,,,,,,,,,,,,,,,
38,data_science_sct,data_specialist,21,scientific data manager,1,,1,,,,,,,,,,,,,,,,,,,,
39,data_science_sct,data_specialist,26,statistician/data scientist,1,,1,,1,,,,,,,,,,,,,,,,,,
40,data_science_sct,data_specialist,54,senior vice president and director statistics and data science,1,,1,,,,,,,,,,,,,,,,,,,1,
41,data_science_sct,data_specialist,36,audience insights & research coordinator,1,,1,,,,,,,1,,,,1,,,,,,,,1,
42,data_science_sct,data_specialist,24,augmented insights manager,2,,1,,,,,,,,,,,,,,,,,,,2,
